product_id,avg_price,purchase_count
aca2eb7d00ea1a7b8ebd4e68314663af,71.36,527
99a4788cb24856965c36a24e339b6058,88.17,488
422879e10f46682990de24d770e7f83d,54.91,484
389d119b48cf3043d311335e499d9c6b,54.7,392
368c6c730842d78016ad823897a372db,54.27,388
53759a2ecddad2bb87a079a1f1519f73,54.66,373
d1c427060a0f73f6b889a5c7c61f2ac4,137.65,343
53b36df67ebb7c41585e8d54d6772e08,116.67,323
154e7e31ebfa092203795c972e5804a6,22.51,281
3dd2a17168ec895c781a9191c1e95ad7,149.94,274
2b4609f8948be18874494203496bc318,87.37,260
7c1bd920dbdf22470b68bde975dd3ccf,60.03,231
a62e25e09e05e6faf31d90c6ec1aa3d1,106.42,226
5a848e4ab52fd5445cdc07aab1c40e48,122.99,197
bb50f2e236e5eea0100680137654686c,327.62,195
e0d64dcfaa3b6db5c54ca298ae101d05,163.85,194
42a2c92a0979a949ca4ea89ec5c7b934,59.4,183
e53e557d5a159f5aa2c5e995dfdf244b,84.37,183
b532349fe46b38fbc7bb3914c1bdae07,36.46,169
35afc973633aaeb6b877ff57b2793310,87.79,165
a92930c327948861c015c919a0bcb4a8,77.97,160
6cdd53843498f92890544667809f1595,350.83,156
19c91ef95d509ea33eda93495c4d3481,121.09,156
437c05a395e9e47f9762e677a7068ce7,50.05,155
f1c7f353075ce59d8a6f3cf58f419c9c,194.79,154
3fbc0ef745950c7932d5f2a446189725,65.75,150
c4baedd846ed09b85f78a781b522f126,100.6,149
461f43be3bdf8844e65b62d9ac2c7a5a,141.05,146
7a10781637204d8d10485c71a6108a2e,213.06,143
06edb72f1e0c64b14c5b79353f7abea3,40.78,143
0aabfb375647d9738ad0f7b4ea3653b1,24.06,142
656e0eca68dcecf6a31b8ececfabe3e8,88.49,141
8c591ab0ca519558779df02023177f44,102.78,141
d017a2151d543a9885604dc62a3d9dcc,49,140
2028bf1b01cafb2d2b1901fca4083222,55.62,138
e0cf79767c5b016251fe139915c59a26,29.9,137
ec2d43cc59763ec91694573b31f1c29a,45.89,131
36f60d45225e60c7da4558b070ce4b60,88.51,127
b0961721fd839e9982420e807758a2a6,57.75,127
4c2394abfbac7ff59ec7a420918562fa,84.99,123
d285360f29ac7fd97640bf0baef03de0,257.1,123
c6dd917a0be2a704582055949915ab32,98.9,120
89321f94e35fc6d7903d36f74e351d40,28.37,119
601a360bd2a916ecef0e88de72a6531a,127.39,119
52c80cedd4e90108bf4fa6a206ef6b03,173.69,118
6f3b5b605d91b7439c5e3f5a8dffeea7,162.47,117
0bcc3eeca39e1064258aa1e932269894,54.09,115
54d9ac713e253fa1fae9c8003b011c2a,32.07,114
08574b074924071f4e201e151b152b4e,95.22,113
84f456958365164420cfc80fbe4c7fab,92.84,111
165f86fe8b799a708a20ee4ba125c289,163.49,109
4fe644d766c7566dbc46fb851363cb3b,100.97,107
7ce94ab189134e2d3c05f496d635419c,13.65,106
595fac2a385ac33a80bd5114aec74eb8,119.22,106
0a57f7d2c983bcf8188589a5fea4a8da,114.49,104
d5991653e037ccb7af6ed7d94246b249,146.72,103
78efe838c04bbc568be034082200ac20,95.51,101
880be32f4db1d9f6e2bec38fb6ac23ab,43.97,99
6c3effec7c8ddba466d4f03f982c7aa3,24.58,97
9ecadb84c81da840dbf3564378b586e9,36.16,97
29427de7f8a9ee983d9dbc51cec569b4,99.25,97
617186c3d97ea56c9c683a8a3974e8c1,83.41,95
eb8c629f70275fd1c4f809116cce1efc,36.56,95
777d2e438a1b645f3aec9bd57e92672c,69.87,94
c6336fa91fbd87c359e44f5dca5a90ed,43.74,94
75d6b6963340c6063f7f4cfcccfe6a30,56.86,93
cd48f265a63e13b762601f5f794c5fca,49.27,93
e7cc48a9daff5436f63d3aad9426f28b,174.37,93
43423cdffde7fda63d0414ed38c11a73,62.15,93
8c292ca193d326152e335d77176746f0,153.68,92
3f14d740544f37ece8a9e7bc8349797e,84.96,91
b5e13c9a353102f79c6206ff5cb61a50,85.83,91
ee406bf28024d97771c4b1e8b7e8e219,143.49,90
4fcb3d9a5f4871e8362dfedbdb02b064,144.04,89
ee0c1cf2fbeae95205b4aa506f1469f0,51.66,89
2136c70bbe723d338fab53da3c03e6dc,29,89
cac9e5692471a0700418aa3400b9b2b1,112.44,89
dbb67791e405873b259e4656bf971246,79.27,88
473795a355d29305c3ea6b156833adf5,55.74,88
4298b7e67dc399c200662b569563a2b2,141.81,88
7fb04722aba7a2b632bac8f9819796f3,82.59,87
363218ba55c610b750224f90bdd34be1,80.5,86
fb55982be901439613a95940feefd9ee,80.79,84
e44f675b60b3a3a2453ec36421e06f0f,106.54,84
a50acd33ba7a8da8e9db65094fa990a4,117.3,84
d04857e7b4b708ee8b8b9921163edba3,70.59,84
bee2e070c39f3dd2f6883a17a5f0da45,171,80
c9c6fde711572c1ad99ca12728c6af00,30.75,79
5411e9269501a870cabf632f05655131,118.87,77
64fb265487de2238627ce43fe8a67efc,91.28,75
18b0e642cbae7251e60a64aa07dd9eb9,25.83,74
629e019a6f298a83aeecc7877964f935,111.45,74
362b773250263786dd58670d2df42c3b,51.82,73
5a6e53c3b4e8684b13388d6aa4afdf12,16.31,73
7e0dc102074f8285580c9777f79c90cf,35.87,72
634256dbcd184b3757ffd7632c9fe52a,25.46,72
3354a4e684f5e7199f9407db70ccd92b,90.41,72
d3c044bd42d84a79e3b0c42662806a48,28.04,72
0d85c435fd60b277ffb9e9b0f88f927a,70.55,72
2948658cb6abc82847412be7201bfc4c,114.08,71
93c902b021a9e594f658ab1b0351602a,100.18,71
cec09725da5ed01471d9a505e7389d37,69.48,71
8ed094bfe076c568f6bb10feada3f75d,184.96,70
2a2d22ae30e026f1893083c8405ca522,142.15,70
ab1f9387c0627dd24000bfbc54fdeee0,12.9,69
97017430754804328eb9597b7f85da03,28.83,69
bd6e6fce9ada76ea2db0f1912e8e478f,56.99,69
89b121bee266dcd25688a1ba72eefb61,79.9,68
dab2413ead0edda9967edbc9bda2a64e,29.98,68
1613b819ab5dae53aead2dbb4ebdb378,28.16,68
b623b7cb05ee3248fbe4a6ecbeed79a4,73.13,66
11875b30b49585209e608f40e8082e65,65.6,66
bbaef2eadf31fe3ea6702077398be06c,56.99,65
f71973c922ccaab05514a36a8bc741b8,102.89,65
24c66f106f642621e524291a895c9032,181.9,65
5d66715cc928aadd0074f61332698593,19.77,64
0152f69b6cf919bcdaf117aa8c43e5a2,15.34,64
f7a17d2c51d9df89a4f1711c4ac17f33,52.03,63
41c24b8ce92d1a2cac62db5edfd088b2,108.89,63
5f504b3a1c75b73d6151be81eb05bdc9,598.95,63
ea44caac707f7f1325182a538007f838,50.76,63
44a34214a57dc373dcd80f54c919d006,29.5,63
25f86162fee18735fffdb762dcb10d7c,153.61,62
7814c273ab16783d73a9863ebfa8b141,238.26,62
e59dd207c69d86e890febadc796d1078,145.86,62
6a8631b72a2f8729b91514db87e771c0,26.64,62
fbce4c4cb307679d89a3bf3d3bb353b9,142,60
a19b6951c75da43aad691622dd2f6abe,35.45,60
928e52a9ad53a294fdcc91bcf59d1751,135.83,60
06c6e01186af8b98ee1fc9e01f9471e9,37.73,60
8c5876b1c7768217964f353bc7e64393,49.06,59
19421075ae0b585f2dc13ff149e2119d,47.26,59
3eef0cb94ba82de806bb30ab743c7655,80.33,59
a9516a079e37a9c9c36b9b78b10169e8,119.36,59
781afe929e3016a667f5f439afd55fce,108.76,59
e9a69340883a438c3f91739d14d3a56d,166.66,58
fbc1488c1a1e72ba175f53ab29a248e8,118.49,58
c3ba4e8d3cb30049213b682e751e9d00,94.93,58
f35927953ed82e19d06ad3aac2f06353,114.74,58
2fea0f2cec6b6324a277d4a61c2ed2c6,55.16,58
fc1d8637c0268af3db482c14b7ef8e75,149.2,57
aba86c093ccdbac75b09111d57e50004,119.64,57
764292b2b0f73f77a0272be03fdd45f3,91.3,57
d696750e550fd0f733979dd7e5dff921,172.94,57
f71f42e2381752836563b70beb542f80,32.04,56
f4f67ccaece962d013a4e1d7dc3a61f7,234.64,56
054515fd15bc1a2029f10de97ffa9120,42.43,56
a02d0123079f4ae96001ba2010d1a2df,241.96,56
30ac6df06dc59ad72cf2f158fc2d904c,113.85,55
d63c1011f49d98b976c352955b1c4bea,59.26,55
f40876e0ef3cd5f9132b1f16b04b1346,108.45,55
ed2067a9c1f79553088a3c67b99a9f97,57.95,55
386486367c1f9d4f587a8864ccb6902b,111.42,55
af51d485dc5255ba2e18b21b550156e6,263.33,55
2a5806f10d0f00e5ad032dd2e3c8806e,171.3,55
b114bf337c0626166abe574eee9e3f32,154.59,54
73326828aa5efe1ba096223de496f596,82.61,54
9545d45c37449ccbc376de3a04c66e71,126.39,53
431d674f9a4fbd0957ecf6ba3fcb6899,279.59,53
4520766ec412348b8d4caa5e8a18c464,40.89,53
c857b96593773e940454e76efa8eabb3,53.93,53
afeeea6271148ee1bb15173b8187c431,204.79,53
e03102efbc2229024c89be731f0aedcb,36.79,53
4ae634441e444ca4bc85903cafe98d73,15.48,52
ddceb6eef6af67e9fbbd4c148dbe5fd9,212.4,52
22c5ddc22ea8cae84fc9917def682dc6,57.11,52
c7fd13b5e515bffdab855d0812842edb,68.84,52
d2f5484cbffe4ca766301b21ab9246dd,12.88,52
2ffdf10e724b958c0f7ea69e97d32f64,209.93,52
4413a608a42bd21bbf9d5abbd58c249a,158.62,51
88dd63919fc9ab693803578a04a20209,36.07,50
a35a9f46dcee0a67c8c7ad8493eb4135,27.91,50
703d742887bb9267f89b675608ba7aa0,56.1,50
f264c1d9b20b5e4a340254d0405e613b,71.07,50
4b96786612ebe7463132fce2c4dca136,124.34,49
72172e982e8b92155069e4201c92c0bb,32.35,49
