customer_city,avg_products
"rondon do para",1.44
veranopolis,1.44
"taquaritinga do norte",1.43
rubiataba,1.43
bayeux,1.43
"barra do corda",1.43
"tres cachoeiras",1.43
neropolis,1.43
"rio verde",1.42
"pires do rio",1.42
dracena,1.41
pompeia,1.41
brodowski,1.40
"estancia velha",1.40
gaspar,1.40
saltinho,1.40
"sao benedito",1.40
"dom feliciano",1.40
"antonio prado",1.40
senges,1.40
paramirim,1.40
"ribeirao claro",1.40
sooretama,1.40
moreno,1.40
cambara,1.40
"ourilandia do norte",1.40
"sao miguel do araguaia",1.40
"porto xavier",1.40
"cacapava do sul",1.40
"novo progresso",1.40
"paulo de faria",1.40
guaracai,1.40
"barra do garcas",1.40
piraju,1.39
viradouro,1.39
itupeva,1.39
itarare,1.39
cordeiropolis,1.38
"nova esperanca",1.38
santana,1.38
itaiopolis,1.38
ibia,1.38
"bom jardim de minas",1.38
"teotonio vilela",1.38
"baixo guandu",1.38
codo,1.38
itamarandiba,1.38
maracai,1.38
"sao sebastiao do cai",1.38
"iguaba grande",1.37
embu,1.36
"presidente venceslau",1.36
castro,1.36
barroso,1.36
"santa rosa de viterbo",1.36
gravata,1.36
garopaba,1.35
itanhaem,1.34
"arraial do cabo",1.34
alcinopolis,1.33
"sao goncalo do para",1.33
oriente,1.33
"arroio grande",1.33
goianinha,1.33
"mario campos",1.33
estancia,1.33
"sao sepe",1.33
urubici,1.33
"rio real",1.33
morrinhos,1.33
"sao jose da bela vista",1.33
mirinzal,1.33
paulistana,1.33
"santana do mundau",1.33
ivinhema,1.33
"barra do turvo",1.33
entre-ijuis,1.33
"sao ludgero",1.33
marco,1.33
saloa,1.33
"morada nova de minas",1.33
florestopolis,1.33
carai,1.33
ipubi,1.33
"salgado filho",1.33
vianopolis,1.33
"piedade do rio grande",1.33
"barbosa ferraz",1.33
cristais,1.33
pedreiras,1.33
"tupi paulista",1.33
ubaporanga,1.33
"sao mateus do sul",1.33
"rio paranaiba",1.33
vera,1.33
"barros cassal",1.33
pirajui,1.33
"california da barra",1.33
itatim,1.33
sanharo,1.33
"hidreletrica tucurui",1.33
fatima,1.33
janiopolis,1.33
apiai,1.33
"ribeirao do sul",1.33
inaciolandia,1.33
setubinha,1.33
"dom basilio",1.33
"vila rica",1.33
itaituba,1.33
montalvania,1.33
maripa,1.33
jaguariuna,1.33
ituacu,1.33
gaurama,1.33
reserva,1.33
raposo,1.33
buritama,1.33
"sao mateus do maranhao",1.33
cacule,1.33
cosmorama,1.33
bananal,1.33
"aguas belas",1.33
itubera,1.33
"joaquim tavora",1.33
uruana,1.33
chapadinha,1.33
araci,1.33
cruzalia,1.33
piumhi,1.33
"mata verde",1.33
pocinhos,1.33
amambai,1.33
ritapolis,1.33
"nova alvorada",1.33
"francisco badaro",1.33
goncalves,1.33
"santa maria de jetiba",1.33
"santana do araguaia",1.33
angulo,1.33
paraibano,1.33
itambacuri,1.33
"sao joao do piaui",1.33
itinga,1.33
"nova monte verde",1.33
carius,1.33
"nova canaa do norte",1.33
acu,1.33
icara,1.33
"sao tomas de aquino",1.33
carambei,1.33
realeza,1.33
"morro reuter",1.33
ipira,1.33
mandaguari,1.33
brumado,1.32
japeri,1.32
"senhor do bonfim",1.32
ibirama,1.31
forquilhinha,1.31
imbe,1.31
capanema,1.31
"osvaldo cruz",1.31
guara,1.30
"serra talhada",1.30
"regente feijo",1.30
"sao sebastiao",1.30
penapolis,1.30
itamonte,1.30
igarape,1.30
eldorado,1.29
espumoso,1.29
"sao gabriel do oeste",1.29
pinhalzinho,1.29
itaporanga,1.29
ibotirama,1.29
"santo anastacio",1.29
"santa albertina",1.29
campanha,1.29
acreuna,1.29
matupa,1.29
"morro do chapeu",1.29
"arroio do sal",1.29
lapa,1.29
"dores do indaia",1.29
marmeleiro,1.29
nao-me-toque,1.29
ipaussu,1.29
"santa cruz do sul",1.29
orlandia,1.29
"sao jeronimo",1.29
"barra da estiva",1.29
dianopolis,1.29
ipanema,1.29
"luis antonio",1.29
"porto seguro",1.28
tiete,1.28
itumbiara,1.28
concordia,1.28
goianesia,1.28
"bonfim paulista",1.28
"ponta pora",1.28
uba,1.28
araquari,1.27
"treze tilias",1.27
brumadinho,1.27
andira,1.27
apucarana,1.27
sinop,1.27
bariri,1.27
salinas,1.27
"abreu e lima",1.27
caruaru,1.27
"pocos de caldas",1.27
mantena,1.27
pirai,1.27
"nova andradina",1.27
junqueiropolis,1.27
bacabal,1.27
abaetetuba,1.27
ijui,1.27
"tres coracoes",1.27
"astolfo dutra",1.27
santiago,1.27
rolandia,1.26
mesquita,1.26
parauapebas,1.26
"angra dos reis",1.26
corumba,1.26
"sao joaquim de bicas",1.25
lambari,1.25
bilac,1.25
candelaria,1.25
araripina,1.25
"santo antonio do jacinto",1.25
indiara,1.25
"sao miguel",1.25
"candido de abreu",1.25
"sao lourenco da serra",1.25
"riacho de santana",1.25
urucui,1.25
imbuia,1.25
itapaci,1.25
"alta floresta",1.25
ibipora,1.25
papagaios,1.25
franca,1.25
"sao gotardo",1.25
"santo antonio das missoes",1.25
"conceicao das pedras",1.25
"agua doce do norte",1.25
curitibanos,1.25
colider,1.25
fervedouro,1.25
itabaiana,1.25
pongai,1.25
porciuncula,1.25
aperibe,1.25
ipiabas,1.25
"sao domingos do prata",1.25
sorriso,1.25
cacequi,1.25
"santo antonio do amparo",1.25
"pedro leopoldo",1.25
"campo alegre",1.25
jacare,1.25
"rio bananal",1.25
"conceicao do mato dentro",1.25
guadalupe,1.25
perdizes,1.25
muqui,1.25
"nova bandeirantes",1.25
"eneas marques",1.25
gouveia,1.25
cravinhos,1.25
"teofilo otoni",1.25
varjota,1.25
"nova bassano",1.25
"monte alegre de minas",1.25
"dores do rio preto",1.25
"alto do rodrigues",1.25
colinas,1.25
martinopolis,1.25
"jaragua do sul",1.25
colatina,1.25
travessao,1.25
"sao geraldo",1.25
munhoz,1.25
"pato branco",1.25
irapua,1.25
arandu,1.25
maristela,1.25
figueira,1.25
catuipe,1.25
sertanopolis,1.25
navirai,1.25
itaipava,1.25
imbituva,1.25
"bom jesus do itabapoana",1.25
"lucas do rio verde",1.25
"sete barras",1.25
condor,1.25
"campos sales",1.25
